participant_id,participant_name
B01403,QUEST STOCKBROKERS (HK) LTD
B02093,UPMAX SECURITIES LTD
B01994,BONUS EVENTUS SECURITIES LTD
C00063,CHEMICAL BANK
B02096,AFG SECURITIES LTD
B01960,ANZ SECURITIES (HK) LTD
C00054,BANK OF AMERICA NATIONAL TRUST AND
B01996,CHINA RENAISSANCE SECURITIES (HONG KONG)
B80049,HARVESTER STOCK INVESTMENT CO
B02021,NEW HARVEST WEALTH SECURITIES COMPANY
B00047,BOWIN INDUSTRIAL CO
B00454,FU WAH & CO
B01417,CHEE TAK SECURITIES LTD
B01900,ORIENT SECURITIES (HONG KONG) LTD
B01309,WO FUNG SECURITIES CO
B01556,LUK FOOK SECURITIES (HK) LTD
B01163,KA WING SECURITIES CO
B00749,THOMAS SECURITIES CO
B01236,LOLLIMAN SECURITIES LTD
B01441,M & A SECURITIES (HK) LTD
B01604,WANHAI SECURITIES (HK) LTD
B01652,TIS SECURITIES (HK) LTD
B02090,PULUN INTERNATIONAL SECURITIES LTD
B01742,WORLDTOP SECURITIES LTD
B00579,FREDDY CO
B02056,RUIBANG SECURITIES LTD
B01325,MASTER SECURITIES & INVESTMENT CO
B02162,GAMMA SECURITIES LTD
B02088,CARLYON SECURITIES LTD
B01518,GINY SECURITIES CO
B01086,EVERBRIGHT SECURITIES INVESTMENT
C00028,NANYANG COMMERCIAL BANK LTD
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING
B01894,MFG LIMITED
B01372,FIRST WORLDSEC SECURITIES LTD
B01414,EVERHOT SECURITIES LTD
B01793,ASIA PACIFIC CAPITAL SECURITIES LTD
B02029,HONOR SECURITIES (HK) LTD
B01407,WIN WONG SECURITIES LTD
B02086,"BG SECURITIES (HK) CO., LTD"
B01435,JOLLY FIRST CAPITAL LTD
B01421,ONEPLATFORM SECURITIES LTD
B01137,CHOW SANG SANG SECURITIES LTD
B01828,IMC ASIA PACIFIC LTD
B01418,EVER-LONG SECURITIES CO
B01464,PIPER JAFFRAY ASIA SECURITIES LTD
B01168,GRAND SECURITIES CO
B01078,STANDARD CHARTERED SECURITIES
B01768,WINTONE SECURITIES LTD
B01989,PRESTIGE SECURITIES LTD
B01709,RPS INVESTMENT LTD
B01857,KAISA FINANCIAL GROUP CO LTD
B01983,W. FALCON ASSET MANAGEMENT (ASIA) LTD
B02033,SPDB INTERNATIONAL CAPITAL LTD
B01559,WISETRADE SECURITIES LTD
B01127,REORIENT FINANCIAL MARKETS LTD
C00056,THE GOVERNOR AND COMPANY OF THE BANK OF
B00008,D. J. INVESTMENT CO
B01723,KAM BO SECURITIES CO LTD
B01517,WEI XIN SECURITIES LTD
B00169,KWOK CHUNG CHUN SECURITIES CO
B01846,TISCO GLOBAL SECURITIES LTD
B01576,SIU ON SECURITIES LTD
B02135,ZUNDIAO SECURITIES LTD
B01903,PICO ZEMAN SECURITIES (HK) LTD
B01260,LAMTEX SECURITIES LTD
B01800,SUN CAPITAL SECURITIES LTD
B01552,CARRIER STOCK INVESTMENT CO LTD
B01246,ROCTEC SECURITIES CO LTD
B00163,KO KUN STOCK CO
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD
B00902,MAN SHING CO
B01770,TOKAI TOKYO SECURITIES (ASIA) LTD
B02095,LION INTERNATIONAL SECURITIES GROUP LTD
B01551,YUE XIU SECURITIES CO LTD
B01651,MING HON SECURITIES LTD
B01284,HANG SENG SECURITIES LTD
B01033,TOWN HANG SECURITIES CO
B01925,BMI SECURITIES LTD
B01647,TRUTH SECURITIES LTD
B01811,3V CAPITAL LTD
C00058,CHINA CITIC BANK INTERNATIONAL LTD
B01645,SELINA & CO LTD
